0,time,put,big,safe,interest,man,imagine,propaganda,huge,business
1,point,republican,policy,ignorance,news,climate_change,trump,view,thinking,vote
2,government,safe,drug,product,injury,effective,company,pay,court,manufacturer
3,illness,day,find,long,talk,ill,thought,ago,fever,week
4,vaccine,develop,lead,low,development,rest,accord,ability,guinea,ohio
5,human,cell,give,live,antibiotic,dog,turn,hard,city,house
6,mercury,thimerosal,amount,form,dose,lead,fish,remove,exposure,thimerosol
7,adult,cancer,bear,prevent,high,true,age,hepatitis,sex,increase
8,pay,cost,profit,medication,insurance,include,industry,dollar,care,sell
9,life,save,live,aos,create,aot,good,involve,pre,carry
10,risk,vaccination,small,diet,reduce,concerned,high,benefit,worth,free
11,number,understand,compare,rise,current,share,antigen,important,century,protect
12,medical,article,work,medicine,information,accept,recent,part,reader,date
13,baby,time,today,healthy,forget,play,preventable_diseas,condition,jane,affect
14,year,vaccine,age,give,receive,concern,young,immunization,week,administer
15,child,law,vaccinate,california,reason,pass,protect,state,mandate,religious
16,autism,mmr,evidence,autistic,boy,process,increase,disorder,blame,diagnose
17,anti_vaxxer,choice,leave,change,part,mind,discussion,guess,back,crazy
18,child,parent,vaccinate,vaccinated,refuse,pediatrician,decide,room,choose,hypocritical
19,research,base,individual,state,national,report,cdc,opinion,fail,public
20,problem,make,place,stop,happen,question,spend,sense,future,occur
21,vaccine,time,find,article,epidemic,money,fund,lot,trial,virus
22,anti,column,claim,crowd,comment,position,doubt,reality,nonsense,highly
23,health,care,important,thing,program,sound,person,teach,aid,economic
24,real,shot,expert,kennedy,hold,word,bruni,scientific,listen,action
25,science,safety,scientific,evidence,denier,base,efficacy,conspiracy,climate_change,agency
26,rate,vaccination,world,country,high,nation,realize,ignore,worker,single
27,death,history,back,require,write,learn,record,decline,due,include
28,doctor,patient,system,physician,benefit,cost,single,term,order,support
29,vaccine,autism,vaccination,scientific,present,harm,knowledge,answer,anti,explanation
30,make,scientist,doctor,money,feel,easy,claim,choose,argue,even_though
31,child,family,life,damage,million,decade,disability,long,experience,social
32,disease,live,great,protect,end,love,vaccinate,wait,young,heart
33,vaccination,disease,epidemic,childhood,prevent,effect,population,clear,immune_system,exist
34,issue,fact,question,leave,political,base,entire,convince,basis,earth
35,people,fact,year,drive,million,car,anti_vaxxer,understand,search,begin
36,virus,immune_system,vaccine,body,infant,expose,antibody,response,birth,mother
37,measl,vaccinated,unvaccinated,measle,outbreak,vaccinate,herd_immunity,fully,compromise,expose
38,food,water,aluminum,eat,bad,label,grow,fall,chemical,fear
39,good,thing,wrong,hope,pretty,write,hand,follow,point,common
40,people,person,belief,society,lose,idea,wrong,bad,current,gun
41,people,make,comment,victim,internet,affect,change,include,decrease,humanity
42,disease,treat,cure,treatment,contract,infect,spread,symptom,catch,immune
43,good,vaccination,reason,give,hear,friend,idea,thing,degree,end
44,public,force,fight,lie,american,war,line,corporation,ai,seek
45,cdc,fact,statement,datum,researcher,regard,document,report,promote,posey
46,vaccine,schedule,recommend,son,give,allergy,fine,educate,site,testing
47,work,bring,american,education,threat,poor,job,attack,immigrant,mention
48,vaccine,flu,pregnant_woman,http_www,pregnancy,safe,influenza,flu_shot,safety,increase
49,study,link,show,prove,publish,journal,author,cite,effect,outcome
50,kid,school,home,vaccinate,parent,sick,public,require,opt,low
51,issue,test,large,public_health,vaccine,completely,feel,group,simply,fear
52,result,argument,point,source,dangerous,harm,gmo,real,datum,apparently
53,die,kill,day,world,thousand,death,hour,hundred,watch,survive
54,vaccine,reaction,side_effect,vaccin,fit,unsafe,devastating,adverse_reaction,adverse,maker
55,read,woman,great,book,suggest,org,false,conclusion,due,black
56,call,liberal,oppose,side,kind,show,matter,continue,support,deny
57,polio,child,childhood,rubella,disease,mother,shingle,complication,measles_mump,measl
58,vaccination,case,immunity,pertussis,community,provide,infection,refuse,proof,discuss
59,year,polio,africa,case,health,country,area,healthy,effort,milestone
