0,play,game,team,sport,great,player,world,win,good,fan
1,country,american,world,america,nation,europe,usa,immigrant,border,united_state
2,government,public,power,interest,free,american,citizen,political,national,control
3,fact,base,number,study,science,evidence,claim,point,argument,result
4,change,give,hope,great,good,move,future,end,lose,bring
5,br,dear,lefty_liberal,sic,nope,gt,kalidan,gt_gt,ergo,ter
6,black,white,american,race,people,group,community,african,racism,racist
7,work,time,day,hard,hour,make,leave,week,find,give
8,state,law,citizen,pass,require,rule,federal,legal,texas,constitution
9,gun,people,kill,fear,control,violence,act,attack,stop,murder
10,word,point,speak,hear,comment,call,agree,talk,view,sound
11,article,read,write,time,story,comment,book,piece,nyt,author
12,society,social,individual,culture,experience,personal,lack,understand,share,ability
13,br,amp,http_www,target,href_http,title,www,http,org,news
14,people,feel,make,person,live,thing,life,understand,find,lot
15,police,stop,officer,force,cop,happen,situation,shoot,video,fire
16,economic,market,china,economy,rate,increase,high,low,growth,policy
17,woman,man,sex,male,marriage,female,young,girl,wear,gender
18,show,watch,love,movie,character,great,music,art,film,fun
19,buy,sell,drive,car,internet,check,service,technology,phone,free
20,human,life,world,live,animal,kill,die,dog,death,nature
21,school,student,education,college,high,public,teacher,learn,teach,class
22,make,decision,case,decide,choice,court,choose,matter,reason,agree
23,crime,case,criminal,system,justice,prison,abuse,charge,judge,victim
24,abortion,patient,drug,doctor,medical,treatment,die,life,risk,pain
25,war,deal,iran,military,iraq,isis,russia,israel,agreement,nuclear
26,year,time,long,ago,start,month,term,back,today,decade
27,money,tax,pay,poor,rich,income,spend,dollar,fund,benefit
28,republican,vote,party,candidate,democrat,gop,election,voter,democratic,support
29,conservative,liberal,religious,religion,belief,christian,church,god,moral,anti
30,president,obama,run,bush,clinton,bill,office,elect,congress,house
31,city,live,place,area,home,house,move,build,new_york,neighborhood
32,make,add,good,great,serve,bit,summer,easy,nice,recipe
33,child,family,parent,kid,life,friend,young,live,home,love
34,food,eat,day,exercise,good,healthy,body,drink,weight,lose
35,good,make,thing,bad,idea,guy,big,lot,pretty,happen
36,fact,lie,reality,truth,fail,wrong,true,blame,ignore,simply
37,trump,medium,show,debate,news,donald_trump,watch,call,fox,mr
38,care,cost,health,system,insurance,plan,pay,provide,service,benefit
39,problem,issue,question,real,answer,solution,address,part,point,important
40,greece,greek,debt,bank,germany,money,country,german,government,europe
41,history,war,flag,south,fight,state,slavery,today,american,civil
42,back,leave,line,head,hand,open,turn,put,wait,sit
43,water,energy,climate_change,grow,oil,resource,california,power,produce,environment
44,job,business,worker,company,work,pay,employee,wage,american,union
