0,research,read,pregnant_woman,http_www,woman,pregnancy,opinion,anti_vaxxer,current,medium
1,cdc,state,pertussis,outbreak,effect,reaction,control,report,schedule,bill
2,vaccine,risk,safe,put,prove,lead,harm,small,effective,decide
3,autism,scientific,anti,vaccination,food,vaccine,evidence,present,real,autistic
4,polio,year,case,people,africa,health,healthy,common,spread,country
5,measl,vaccinated,unvaccinated,age,die,measle,young,immunity,herd_immunity,receive
6,issue,government,pay,leave,make,test,product,injury,mention,political
7,work,time,mother,write,hard,live,long,hope,experience,grow
8,year,life,day,world,live,die,family,kill,million,water
9,fact,science,base,belief,fight,climate_change,talk,ignorance,support,deny
10,disease,vaccine,death,childhood,illness,epidemic,due,prevent,history,suffer
11,vaccination,disease,rate,great,high,country,end,world,nation,ignore
12,big,make,thing,american,republican,america,poor,liberal,gun,threat
13,give,care,health,cost,medical,include,cancer,single,bear,benefit
14,claim,call,wrong,good,comment,idea,gmo,kind,hold,increase
15,good,anti,anti_vaxxer,change,dangerous,community,work,drive,society,reason
16,kid,school,public,law,require,california,home,choice,mandate,protect
17,drug,question,safety,medicine,system,big_pharma,patient,side_effect,company,physician
18,vaccine,virus,flu,immune_system,baby,body,develop,human,cell,infant
19,vaccine,study,mercury,show,link,thimerosal,mmr,result,amount,datum
20,child,vaccinate,parent,vaccination,refuse,choose,vaccinated,protect,pediatrician,daughter
21,people,thing,understand,concern,number,hear,fear,start,food,concerned
22,vaccine,make,article,time,doctor,find,scientist,problem,money,happen
23,point,medical,provide,argument,matter,real,support,individual,evidence,group
