0,child,vaccinate,parent,kid,vaccinated,school,measl,protect,unvaccinated,measle
1,science,anti,scientific,base,leave,fact,point,issue,change,lot
2,article,read,research,public,state,anti_vaxxer,law,outbreak,call,require
3,vaccine,issue,understand,develop,number,body,concern,human,immunity,test
4,risk,give,age,high,adult,include,pertussis,time,bear,expose
5,good,vaccination,rate,american,work,comment,public_health,write,matter,follow
6,year,people,polio,case,health,illness,great,country,africa,life
7,day,die,food,live,life,world,kill,bad,today,back
8,vaccine,safe,flu,death,baby,pregnant_woman,effective,receive,harm,http_www
9,people,make,thing,time,problem,feel,million,happen,put,article
10,care,medical,government,health,pay,fact,cost,drug,choice,medicine
11,autism,study,mercury,evidence,show,result,link,mmr,cdc,thimerosal
12,disease,vaccination,childhood,virus,immune_system,epidemic,long,due,prevent,effect
