0,pay,money,tax,cost,government,spend,dollar,benefit,system,plan
1,greece,greek,money,debt,government,bank,germany,economy,europe,country
2,world,policy,economic,china,poor,create,rich,free,system,economy
3,law,case,state,rule,court,legal,pass,judge,justice,require
4,year,time,day,long,work,ago,week,month,start,back
5,fact,lie,claim,call,truth,true,base,reality,evidence,real
6,drug,doctor,patient,medical,care,die,treatment,risk,study,health
7,work,job,business,company,worker,pay,employee,corporation,wage,profit
8,drive,car,place,walk,put,sit,line,check,wait,open
9,aos,time,medium,liberal,story,news,show,aot,conservative,nyt
10,woman,man,sex,feel,young,male,girl,female,wear,gender
11,people,problem,make,change,thing,real,feel,issue,find,understand
12,state,history,flag,south,slavery,great,today,part,texas,represent
13,word,understand,view,term,base,mind,point,idea,discussion,sense
14,black,white,people,race,person,community,group,matter,racism,racist
15,freedom,religion,religious,church,culture,love,world,conservative,christian,speech
16,school,education,student,college,public,high,learn,work,teacher,good
17,child,live,family,home,kid,parent,city,friend,house,poor
18,gun,kill,police,crime,stop,shoot,criminal,murder,violence,death
19,article,read,write,find,book,time,post,information,author,http_www
20,life,make,live,choice,abortion,human,care,choose,support,decision
21,science,water,earth,human,scientist,climate_change,planet,energy,climate,land
22,american,country,america,government,citizen,people,nation,million,national,illegal
23,play,watch,show,game,team,great,sport,player,movie,character
24,high,number,low,rate,increase,year,large,level,market,price
25,good,thing,make,bad,talk,guy,idea,run,lot,hear
26,war,iraq,fight,military,isis,russia,world,force,attack,terrorist
27,lose,happen,hope,hand,end,leave,back,world,bring,turn
28,food,eat,make,animal,good,buy,dog,exercise,day,grow
29,republican,trump,vote,party,president,candidate,gop,democrat,run,voter
30,deal,iran,obama,president,israel,support,agreement,nuclear,congress,world
31,question,make,point,issue,wrong,answer,agree,comment,give,side
