0,republican,vote,party,democrat,election,voter,democratic,gop,support,voting
1,point,wrong,reason,argument,agree,fact,case,view,side,support
2,president,obama,congress,deal,bill,bush,administration,support,house,office
3,law,rule,court,case,legal,constitution,decision,justice,judge,act
4,history,war,flag,south,fight,slavery,civil,southern,confederate_flag,slave
5,care,cost,health,insurance,system,plan,pay,provide,service,healthcare
6,police,crime,criminal,officer,cop,prison,case,justice,charge,jail
7,article,comment,read,find,mention,point,interesting,post,opinion,author
8,black,white,race,american,african,racism,racist,community,group,racial
9,make,add,good,serve,recipe,restaurant,cook,bit,easy,great
10,country,world,russia,europe,russian,war,western,european,west,putin
11,show,medium,watch,news,tv,debate,talk,video,fox,fox_new
12,power,political,policy,system,control,change,interest,democracy,economic,influence
13,woman,man,young,sex,male,female,girl,gender,boy,body
14,water,land,grow,california,place,area,small,farmer,big,island
15,good,bad,thing,idea,guy,lot,make,pretty,sound,stupid
16,market,economy,china,economic,chinese,trade,price,money,free,financial
17,child,parent,family,kid,life,abortion,bear,mother,adult,baby
18,energy,climate_change,earth,planet,world,environment,oil,resource,power,climate
19,hope,end,leave,great,continue,lead,hold,good,future,turn
20,br,org_wiki,en_wikipedia,title_https,www_youtube,target_https,href_https,list,tom,btw
21,gun,kill,violence,people,shoot,death,control,murder,act,carry
22,long,term,risk,result,action,drug,consequence,effect,damage,potential
23,money,pay,tax,spend,fund,dollar,income,government,cut,benefit
24,year,time,ago,long,change,age,past,today,decade,month
25,live,city,home,house,move,place,area,build,neighborhood,housing
26,drive,car,travel,road,train,park,walk,time,mile,driver
27,make,good,choice,choose,sense,decision,change,difference,give,mistake
28,war,iran,deal,israel,iraq,military,isis,nuclear,fight,bomb
29,back,run,start,big,time,move,put,line,step,bring
30,high,number,rate,increase,low,population,level,average,large,percent
31,people,poor,rich,live,social,class,society,middle_class,poverty,generation
32,government,public,free,protect,freedom,private,speech,national,security,citizen
33,experience,person,individual,behavior,personal,lack,understand,respect,situation,responsibility
34,give,happen,stop,call,thing,talk,time,expect,break,suppose
35,wear,eye,head,office,open,put,hand,walk,foot,hair
36,conservative,liberal,anti,political,wing,leave,call,hate,view,side
37,fact,claim,lie,truth,true,reality,statement,ignore,false,prove
38,life,love,friend,family,live,feel,die,happy,death,wife
39,religious,religion,marriage,christian,church,god,gay,belief,muslim,faith
40,problem,issue,real,solution,address,part,focus,solve,important,fix
41,face,fear,hear,speak,stand,lose,shame,feel,voice,call
42,play,game,team,sport,player,win,great,world,fan,football
43,amp,information,internet,technology,phone,computer,email,send,call,datum
44,trump,candidate,run,campaign,hillary,clinton,gop,republican,sander,bernie_sander
45,br,dear,starter,beware,lefty_liberal,kalidan,dd,prod,shoulda,jan
46,question,word,answer,speak,language,hear,refer,guess,call,puzzle
47,job,worker,work,pay,wage,union,labor,american,hire,employee
48,read,time,write,story,book,piece,nyt,report,reader,writer
49,state,texas,require,federal,include,governor,local,red,national,sign
50,business,company,profit,corporation,corporate,buy,sell,employee,big,amazon
51,work,hard,good,find,time,make,learn,lot,part,place
52,human,life,world,society,culture,nature,live,mind,humanity,moral
53,american,country,america,world,nation,citizen,united_state,usa,million,rest
54,br,http_www,target,href_http,title,www,http,org,news,article
55,patient,doctor,medical,treatment,drug,cancer,treat,disease,pain,die
56,school,student,college,education,high,teacher,teach,university,learn,kid
57,show,movie,character,great,music,play,art,film,love,king
58,day,time,week,hour,spend,wait,night,month,back,sit
59,greece,greek,debt,bank,germany,loan,euro,german,money,country
60,people,person,thing,feel,understand,lot,make,kind,talk,wrong
61,study,science,base,research,evidence,result,scientist,model,show,datum
62,food,eat,animal,exercise,dog,healthy,weight,body,lion,kill
