0,people,poor,live,rich,society,class,poverty,middle_class,social,place
1,religious,religion,church,christian,god,belief,moral,society,muslim,faith
2,play,game,team,sport,player,win,fan,world,good,great
3,fear,act,action,hate,behavior,people,call,blame,shame,excuse
4,president,obama,congress,republican,bill,house,run,bush,elect,office
5,life,feel,experience,learn,find,live,good,make,understand,personal
6,happen,give,thing,stop,end,lose,put,start,make,time
7,show,watch,talk,tv,funny,video,miss,joke,hear,laugh
8,trump,conservative,liberal,debate,republican,gop,candidate,political,wing,donald_trump
9,make,add,good,recipe,serve,restaurant,easy,cook,bit,taste
10,fact,lie,claim,truth,argument,true,base,reality,evidence,prove
11,great,love,hear,speak,hope,sound,heart,listen,mind,voice
12,time,story,medium,news,comment,report,nyt,new_york,press,post
13,country,china,world,russia,europe,chinese,russian,european,western,putin
14,business,buy,sell,market,big,make,price,free,profit,company
15,patient,drug,doctor,medical,treatment,risk,die,cancer,treat,disease
16,human,kill,animal,people,live,life,death,die,dog,world
17,american,country,america,world,nation,citizen,trade,foreign,rest,united_state
18,work,time,day,hard,hour,week,make,spend,run,long
19,number,large,term,small,result,group,long,compare,base,include
20,low,rate,economic,high,economy,income,increase,tax,growth,policy
21,city,car,drive,house,home,build,nyc,building,travel,street
22,movie,character,story,picture,great,art,real,film,photo,play
23,money,pay,tax,spend,dollar,fund,government,taxpayer,benefit,financial
24,point,question,answer,wrong,agree,make,view,give,correct,understand
25,vote,republican,party,candidate,election,democrat,voter,democratic,win,campaign
26,people,person,love,friend,make,marriage,find,gay,relationship,talk
27,government,public,power,political,control,system,interest,democracy,policy,create
28,fail,lead,make,continue,future,failure,result,success,strong,follow
29,year,time,ago,long,month,change,past,decade,start,age
30,deal,iran,israel,agreement,nuclear,support,jewish,sanction,peace,war
31,law,state,citizen,legal,require,illegal,rule,pass,immigration,immigrant
32,leave,back,line,head,side,hand,move,put,turn,big
33,time,today,call,back,remember,long,great,day,bring,forget
34,br,amp,http_www,target,href_http,title,article,www,http,org
35,crime,case,criminal,system,justice,prison,charge,judge,abuse,commit
36,problem,issue,change,real,solution,address,focus,solve,part,important
37,gun,police,kill,shoot,officer,violence,cop,stop,murder,death
38,article,read,write,book,comment,author,find,mention,interesting,piece
39,good,make,bad,thing,idea,lot,guy,people,pretty,sense
40,food,eat,exercise,healthy,day,body,drink,weight,fat,good
41,population,energy,resource,oil,power,world,environment,produce,clean,future
42,war,military,iraq,fight,isis,force,attack,terrorist,enemy,threat
43,black,white,race,american,people,community,african,racism,racist,racial
44,br,dear,con,lefty_liberal,dd,kalidan,ergo,ps,ditto,albert_einstein
45,greece,greek,debt,bank,germany,german,country,euro,loan,economy
46,job,work,worker,pay,company,employee,wage,union,amazon,hire
47,science,study,climate,research,scientist,change,datum,climate_change,show,rise
48,state,water,local,land,area,texas,california,grow,place,governor
49,information,internet,security,phone,email,computer,datum,call,technology,secret
50,wear,face,office,put,run,walk,make,feel,sit,summer
51,understand,process,idea,part,lack,ability,common,form,sense,knowledge
52,care,cost,health,insurance,pay,plan,system,provide,program,benefit
53,choice,make,life,support,abortion,choose,woman,anti,decision,force
54,decision,word,case,court,rule,constitution,freedom,speech,opinion,law
55,child,family,parent,kid,home,young,mother,father,age,live
56,br,word,puzzle,clue,letter,fill,list,cross,note,entry
57,school,student,college,education,high,teacher,teach,university,public,class
58,woman,man,young,male,sex,female,girl,gender,boy,age
59,history,flag,state,south,slavery,war,civil,fight,fly,confederate_flag
