0,business,market,china,sell,free,trade,price,buy,corporation,profit
1,world,great,give,good,hope,rest,respect,true,mind,today
2,feel,person,experience,understand,find,behavior,feeling,personal,relationship,kind
3,play,game,team,sport,player,win,fan,world,field,football
4,food,eat,day,exercise,watch,healthy,body,drink,weight,fat
5,br,http_www,target,href_http,title,article,www,http,news,org
6,city,live,area,home,house,place,build,move,new_york,neighborhood
7,book,read,write,show,movie,story,character,review,ms,writer
8,make,add,food,eat,recipe,serve,cook,good,restaurant,taste
9,drug,patient,doctor,medical,treatment,cancer,treat,brain,disease,pain
10,lie,truth,fact,reality,real,stupid,shame,true,fool,face
11,internet,technology,phone,watch,computer,call,find,service,ad,free
12,care,health,cost,system,insurance,plan,pay,provide,service,healthcare
13,power,political,interest,american,country,democracy,politician,control,nation,system
14,state,history,flag,south,slavery,war,civil,fight,southern,confederate_flag
15,drive,car,stop,run,line,time,walk,road,back,put
16,science,study,datum,scientist,climate,show,research,climate_change,year,rise
17,fact,claim,base,argument,reason,case,evidence,true,prove,wrong
18,society,social,culture,individual,human,idea,form,modern,concept,difference
19,call,amp,hold,stop,blame,give,act,action,hand,refuse
20,president,obama,bush,bill,congress,run,house,office,elect,clinton
21,woman,man,sex,male,marriage,female,gender,girl,young,gay
22,life,love,friend,family,live,die,death,wife,feel,day
23,government,public,state,national,private,federal,security,protect,information,secret
24,deal,iran,israel,agreement,nuclear,support,war,sanction,bomb,jewish
25,make,thing,happen,wrong,talk,sense,point,give,lot,mistake
26,child,family,parent,kid,young,age,home,grow,adult,generation
27,year,time,day,ago,week,month,hour,work,long,early
28,people,live,thing,make,lot,understand,person,place,reason,talk
29,police,crime,criminal,officer,cop,case,prison,justice,charge,jail
30,long,change,time,term,year,continue,part,remain,decade,past
31,show,great,hear,picture,listen,music,eye,sound,art,love
32,law,state,rule,court,legal,case,decision,constitution,require,pass
33,leave,end,back,move,start,happen,lose,time,step,begin
34,work,hard,make,good,find,life,learn,success,opportunity,goal
35,vote,republican,candidate,election,party,voter,democrat,win,democratic,campaign
36,black,white,race,american,racism,racist,community,african,people,group
37,country,american,america,world,citizen,nation,usa,immigrant,europe,united_state
38,human,kill,animal,live,life,dog,world,people,lion,nature
39,life,choice,make,abortion,choose,support,woman,decision,force,pro
40,result,risk,lead,consequence,process,action,effect,due,case,event
41,point,agree,view,comment,side,mr,opinion,column,disagree,miss
42,number,time,small,give,check,open,wait,list,travel,large
43,word,hear,call,speak,guess,language,refer,sound,post,describe
44,br,question,answer,simple,dear,follow,obvious,beg,single,pose
45,problem,issue,real,solution,address,part,focus,solve,fix,important
46,br,ps,huh,sic,lefty_liberal,kalidan,gt,sigh,albert_einstein,naught
47,good,bad,thing,idea,make,guy,lot,pretty,big,folk
48,job,work,worker,company,employee,pay,business,wage,union,amazon
49,trump,show,debate,medium,donald_trump,candidate,question,fox,news,watch
50,gun,kill,people,violence,shoot,fear,control,murder,act,carry
51,war,military,fight,iraq,isis,russia,force,russian,putin,enemy
52,head,wear,office,put,hand,sit,foot,hair,summer,cold
53,greece,greek,debt,bank,germany,german,country,europe,loan,government
54,republican,party,conservative,liberal,political,policy,wing,leave,gop,anti
55,pay,tax,income,low,benefit,high,cut,raise,fund,rate
56,water,energy,oil,california,land,clean,resource,plant,produce,grow
57,religious,religion,freedom,christian,church,god,muslim,belief,speech,faith
58,article,time,read,comment,story,nyt,write,report,piece,reader
59,money,poor,spend,rich,dollar,give,make,big,buy,million
60,economic,economy,increase,population,rate,policy,growth,high,low,demand
61,school,student,college,education,high,teacher,university,teach,public,class
