0,argument,base,reason,case,position,fact,argue,logic,assume,simply
1,president,obama,bush,bill,congress,elect,clinton,administration,office,run
2,city,live,area,home,neighborhood,new_york,nyc,building,housing,build
3,problem,issue,real,solution,address,fix,solve,face,focus,simple
4,buy,sell,price,drug,product,make,company,store,market,cheap
5,war,iraq,fight,isis,military,force,middle_east,enemy,syria,turkey
6,care,patient,die,doctor,medical,death,hospital,end,family,practice
7,pay,tax,income,benefit,cost,raise,cut,low,social_security,high
8,work,job,hard,good,make,find,people,lot,career,part
9,fail,policy,failure,success,result,goal,lead,lack,achieve,effort
10,head,line,hand,back,hold,turn,put,hit,stand,throw
11,science,climate,scientist,climate_change,datum,earth,research,rise,warm,scientific
12,american,america,country,african,europe,european,native,land,africa,french
13,lie,truth,trust,honest,email,call,record,hide,personal,politician
14,large,population,small,part,number,include,grow,huge,due,major
15,poor,rich,people,class,middle_class,wealth,wealthy,poverty,economic,live
16,experience,person,understand,relationship,feel,personal,find,lack,learn,therapist
17,big,lose,give,great,run,good,make,chance,lot,loss
18,school,student,college,education,teacher,teach,university,high,learn,kid
19,read,book,write,story,writer,character,author,king,season,david
20,company,worker,job,employee,work,pay,amazon,business,hire,wage
21,gun,kill,violence,murder,people,carry,control,shoot,death,act
22,history,human,idea,modern,today,reality,world,great,evil,moral
23,study,brain,treatment,body,research,cancer,disease,test,condition,effect
24,give,service,free,offer,provide,check,sign,include,good,receive
25,time,long,end,give,stop,full,start,day,spend,back
26,word,term,understand,language,refer,call,describe,definition,speak,define
27,china,russia,chinese,country,russian,world,war,putin,japan,west
28,fear,risk,action,safe,damage,dangerous,harm,consequence,avoid,case
29,wrong,blame,stop,people,responsibility,bad,responsible,behavior,act,accept
30,comment,read,article,nyt,write,time,piece,post,story,reader
31,flag,south,slavery,war,history,state,civil,fight,southern,confederate_flag
32,care,health,insurance,abortion,cost,plan,healthcare,aca,obamacare,pro
33,game,play,team,sport,player,win,fan,football,soccer,ball
34,law,rule,court,case,legal,constitution,decision,justice,pass,act
35,money,pay,bank,financial,debt,loan,interest,buy,investment,back
36,point,agree,issue,view,side,important,miss,comment,understand,opinion
37,change,thing,happen,make,mind,real,start,people,expect,end
38,guy,stupid,call,smart,fool,crazy,folk,bad,thing,kind
39,government,money,spend,public,fund,program,dollar,federal,private,create
40,trump,candidate,republican,gop,campaign,sander,run,bernie_sander,donald_trump,bernie
41,conservative,liberal,political,anti,wing,politic,policy,progressive,leave,brook
42,child,family,parent,kid,mother,father,son,home,daughter,adult
43,year,ago,long,month,time,past,decade,today,back,start
44,day,week,hour,time,work,summer,office,night,year,sleep
45,high,number,rate,low,level,increase,average,percent,compare,reduce
46,movie,play,music,art,great,film,show,love,role,review
47,internet,technology,phone,computer,ad,information,apple,online,site,find
48,greece,greek,debt,germany,german,europe,euro,european,country,austerity
49,economic,economy,market,growth,policy,demand,increase,china,krugman,price
50,fact,claim,true,ignore,matter,prove,statement,wrong,reality,evidence
51,feel,love,friend,sad,people,heart,shame,hope,angry,find
52,police,officer,cop,stop,shoot,video,kill,situation,arrest,force
53,crime,criminal,prison,case,justice,judge,system,commit,victim,jail
54,people,person,lot,live,thing,understand,kind,make,place,treat
55,religious,religion,christian,god,church,belief,muslim,faith,pope,moral
56,human,animal,kill,dog,lion,live,nature,life,hunt,natural
57,br,amp,dear,tom,btw,mark,explain,aka,st,carefully
58,great,mr,respect,man,hope,deserve,ms,hero,stand,courage
59,society,social,culture,individual,community,cultural,create,form,part,accept
60,water,energy,oil,grow,plant,california,produce,land,clean,air
61,business,corporation,job,union,trade,corporate,profit,american,free,worker
62,food,eat,add,exercise,recipe,drink,fat,sugar,weight,cook
63,country,citizen,american,illegal,usa,bear,immigrant,immigration,border,mexico
64,hear,talk,call,speak,sound,listen,give,message,voice,stand
65,article,find,interesting,read,mention,interested,time,attention,feel,pressure
66,question,medium,answer,news,debate,report,press,fox,fox_new,journalist
67,black,white,race,racism,racist,racial,color,community,identify,minority
68,good,bad,thing,idea,make,lot,pretty,great,luck,sound
69,make,choice,choose,decision,sense,good,decide,difference,mistake,easy
70,life,live,young,age,generation,learn,save,happy,matter,family
71,place,open,room,house,wait,sit,home,back,door,leave
72,wear,picture,hair,photo,style,image,eye,suit,fit,dress
73,state,texas,governor,vote,walker,red,federal,florida,wisconsin,local
74,br,lefty_liberal,gt,ann,disclaimer,seventh,literally,quarrel,chiefly,incompetency
75,government,freedom,security,protect,speech,free,information,threat,national,secret
76,support,public,group,interest,member,serve,organization,include,special,general
77,show,watch,tv,funny,daily,laugh,reality,miss,joke,stewart
78,drive,car,travel,road,mile,fly,driver,train,cuba,airline
79,woman,man,sex,male,female,gender,marriage,girl,young,gay
80,republican,vote,party,democrat,election,democratic,voter,gop,win,majority
81,deal,iran,israel,agreement,nuclear,bomb,war,sanction,jewish,iranian
82,leave,move,step,start,back,good,plan,forward,list,place
83,world,country,nation,america,rest,thousand,leader,million,destroy,today
84,system,require,standard,process,term,long,set,base,design,provide
85,http_www,target,href_http,title,www,http,br,org,news,article
86,br,dd,stephen,huh,colossal,kalidan,gt_gt,naught,nope,sensibly
87,run,fill,puzzle,horse,clue,guess,fun,remember,jump,enjoy
88,power,control,political,continue,force,strong,lead,end,influence,gain
