0,country,europe,russia,european,world,russian,putin,germany,france,western
1,economic,economy,rate,market,increase,high,growth,low,policy,demand
2,speak,hear,call,speech,word,respect,voice,listen,hate,talk
3,internet,technology,phone,computer,find,check,ad,service,online,call
4,br,http_www,target,href_http,title,www,http,article,org,news
5,amp,head,back,put,line,red,foot,wear,eye,walk
6,time,long,stop,give,start,happen,put,thing,change,full
7,american,country,america,citizen,immigrant,illegal,united_state,people,immigration,mexico
8,human,kill,animal,dog,live,lion,people,world,nature,horse
9,leave,good,give,move,back,end,hope,step,start,chance
10,show,watch,funny,tv,video,fun,miss,puzzle,remember,fill
11,tax,pay,poor,income,rich,government,benefit,cut,wealth,wealthy
12,school,learn,public,teacher,teach,education,high,kid,test,student
13,woman,choice,abortion,life,support,choose,pro,baby,force,anti
14,day,work,week,hour,time,office,sit,night,room,home
15,society,social,culture,individual,human,create,modern,exist,cultural,idea
16,greece,greek,debt,bank,germany,euro,government,german,loan,country
17,black,white,race,racism,racist,american,african,community,racial,color
18,drive,car,travel,road,train,run,mile,fly,driver,seat
19,year,ago,age,long,time,month,early,today,decade,past
20,city,live,home,house,area,neighborhood,place,move,new_york,build
21,conservative,liberal,policy,political,leave,wing,view,politic,side,progressive
22,people,thing,live,lot,understand,make,person,poor,kind,place
23,feel,experience,understand,person,find,share,feeling,life,relationship,friend
24,crime,criminal,case,system,justice,prison,judge,charge,victim,jail
25,world,country,china,nation,trade,free,chinese,usa,rest,create
26,science,study,scientist,climate,datum,research,show,climate_change,rise,scientific
27,college,student,high,school,education,university,degree,job,program,career
28,water,state,land,grow,california,texas,area,place,farm,island
29,fact,base,argument,claim,evidence,reason,point,statement,case,argue
30,br,dear,mistakenly,fierce,huh,gt_gt,ergo,endlessly,dd,tangle
31,religious,religion,marriage,church,christian,gay,god,belief,faith,sex
32,problem,number,large,population,solution,small,part,solve,fix,real
33,play,game,team,sport,player,win,fan,football,soccer,great
34,child,family,parent,kid,mother,father,friend,young,home,adult
35,question,answer,give,wrong,understand,simple,point,correct,reason,explain
36,movie,show,character,play,music,art,great,film,love,role
37,great,love,hope,heart,true,bring,eye,mind,man,wonderful
38,article,comment,read,post,piece,write,mention,author,interesting,opinion
39,make,good,sense,decision,difference,point,mistake,thing,easy,decide
40,add,make,recipe,serve,cook,restaurant,bit,good,taste,tip
41,work,life,live,hard,find,good,make,happy,feel,enjoy
42,business,company,profit,sell,buy,corporation,price,amazon,market,corporate
43,war,fight,military,iraq,isis,force,enemy,middle_east,send,army
44,woman,man,male,female,young,sex,gender,girl,boy,wear
45,face,real,fear,reality,people,sad,afraid,shame,rest,ignorance
46,government,public,security,information,private,protect,national,state,secret,official
47,person,case,risk,behavior,individual,involve,situation,meet,type,require
48,job,work,worker,pay,employee,wage,union,company,labor,hire
49,deal,iran,agreement,obama,nuclear,israel,support,president,sanction,bomb
50,issue,point,important,agree,view,matter,side,concern,discussion,address
51,energy,oil,power,resource,environment,clean,produce,industry,cost,air
52,care,health,cost,insurance,pay,system,plan,provide,healthcare,aca
53,power,government,political,interest,control,politician,democracy,system,leader,corrupt
54,story,medium,time,news,report,press,nyt,cover,attention,journalist
55,br,sic,gt,nutshell,kalidan,naught,unencumbered,rothschild,ongo,crock
56,patient,drug,doctor,medical,treatment,cancer,disease,treat,hospital,risk
57,food,eat,exercise,healthy,drink,weight,body,fat,diet,day
58,lie,fact,wrong,truth,claim,true,call,matter,admit,real
59,group,attack,act,threat,muslim,terrorist,israel,jewish,world,jew
60,state,flag,history,south,slavery,war,civil,confederate_flag,southern,slave
61,call,talk,sound,line,find,hear,guess,happen,mr,turn
62,hold,fail,blame,hand,responsibility,responsible,expect,action,accept,failure
63,trump,candidate,republican,gop,debate,donald_trump,party,run,presidential,fox
64,lose,die,end,death,happen,thousand,suffer,loss,life,million
65,money,spend,pay,dollar,fund,buy,big,give,save,financial
66,change,term,long,result,goal,achieve,success,continue,effort,process
67,read,write,book,word,language,writer,ms,describe,refer,author
68,president,obama,run,clinton,bush,hillary,campaign,sander,bill,bernie_sander
69,vote,republican,party,democrat,election,voter,democratic,state,voting,gop
70,law,state,rule,court,constitution,legal,pass,case,congress,decision
71,gun,police,kill,shoot,officer,cop,violence,stop,murder,control
72,good,bad,thing,idea,guy,make,lot,pretty,smart,great
