0,lie,claim,fact,truth,reality,true,honest,call,admit,false
1,american,america,country,nation,united_state,citizen,native,national,dream,indian
2,crime,prison,criminal,system,case,jail,commit,victim,charge,justice
3,fact,argument,wrong,base,evidence,point,prove,case,argue,reason
4,science,scientist,climate,climate_change,earth,model,datum,scientific,warm,rise
5,year,ago,month,time,long,day,week,decade,back,past
6,good,bad,thing,idea,make,wrong,reason,choice,option,luck
7,political,power,policy,leader,politic,politician,position,party,leadership,lead
8,country,citizen,illegal,people,immigrant,american,mexico,immigration,border,bear
9,put,place,force,risk,lead,real,give,hand,suppose,expect
10,pay,tax,income,benefit,cut,government,fund,program,raise,social_security
11,support,number,group,large,side,anti,small,reason,point,strong
12,doctor,patient,medical,treatment,care,hospital,cancer,treat,medicine,therapist
13,trump,candidate,republican,gop,debate,donald_trump,jeb,party,run,fox
14,call,hear,stand,speak,hold,shame,voice,respect,horse,hand
15,russia,country,russian,west,putin,europe,ukraine,western,france,usa
16,person,action,behavior,act,individual,responsible,responsibility,hold,personal,blame
17,water,land,grow,california,area,build,small,farm,farmer,island
18,business,company,profit,employee,amazon,corporation,sell,ceo,corporate,service
19,send,thousand,check,time,email,list,record,receive,message,hundred
20,end,future,goal,result,interest,purpose,effort,achieve,serve,success
21,comment,agree,point,post,view,response,opinion,suggest,commenter,disagree
22,understand,lack,human,moral,knowledge,mind,idea,respect,basic,reality
23,hate,attack,act,threat,fear,terrorist,muslim,group,evil,isis
24,travel,mile,train,fly,check,seat,road,carry,board,bus
25,cost,care,plan,health_care,pay,insurance,system,healthcare,obamacare,aca
26,lose,move,happen,back,start,step,turn,end,continue,forward
27,game,play,team,sport,player,win,fan,soccer,football,ball
28,medium,story,news,report,nyt,press,cover,journalist,reporter,coverage
29,iran,deal,israel,nuclear,agreement,bomb,sanction,war,iranian,israeli
30,guy,run,stupid,folk,thing,smart,kind,pretty,stuff,bad
31,job,worker,work,pay,wage,labor,hire,union,employee,company
32,state,texas,governor,federal,local,union,red,gov,walker,wisconsin
33,problem,solution,real,fix,solve,blame,issue,part,address,system
34,leave,fail,idea,failure,center,left,call,nonsense,right_w,turn
35,read,write,book,author,piece,column,writer,ms,story,article
36,car,drive,internet,technology,phone,computer,driver,service,uber,facebook
37,find,face,eye,picture,wrong,make,time,thing,attention,photo
38,food,eat,exercise,healthy,drink,day,weight,fat,health,body
39,wear,man,office,hair,dress,summer,cold,suit,feel,short
40,war,iraq,fight,military,isis,middle_east,force,syria,enemy,troop
41,history,today,great,modern,era,movement,king,century,include,th_century
42,world,country,nation,population,rest,refugee,europe,create,develop,place
43,child,kid,parent,family,bear,care,mother,home,raise,father
44,president,obama,republican,bush,run,clinton,house,administration,elect,bill
45,money,spend,dollar,make,buy,million,billion,save,give,fund
46,law,free,rule,require,freedom,speech,pass,break,regulation,apply
47,poor,rich,class,wealth,system,middle_class,poverty,wealthy,people,economic
48,feel,experience,feeling,suffer,understand,heart,loss,hurt,life,find
49,make,add,bit,good,stick,cook,recipe,hole,wine,fine
50,greece,greek,germany,debt,german,europe,euro,country,european,austerity
51,government,security,information,national,public,citizen,private,protect,agency,datum
52,make,sense,decision,point,mistake,difference,easy,people,thing,happen
53,thing,talk,people,lot,stop,learn,time,hear,happen,start
54,time,long,line,back,part,call,guess,big,miss,give
55,issue,important,point,real,discussion,question,concern,address,matter,discuss
56,woman,man,abortion,male,female,gender,body,sex,baby,birth_control
57,show,watch,tv,video,reality,season,episode,character,series,dead
58,school,student,college,education,teacher,university,teach,high,public,degree
59,day,walk,sit,room,place,night,home,open,leave,wait
60,power,oil,energy,industry,clean,cost,resource,environment,produce,create
61,family,friend,love,son,brother,daughter,father,home,husband,wife
62,money,pay,bank,debt,financial,loan,government,interest,back,borrow
63,article,read,http_www,find,time,interesting,mention,interested,comment,opinion
64,great,love,good,art,music,sound,enjoy,make,world,find
65,sex,love,gay,marriage,man,relationship,marry,person,couple,partner
66,people,care,live,understand,treat,thing,person,sick,realize,kind
67,public,congress,interest,bill,politician,corporation,pass,support,corporate,big
68,movie,play,character,film,role,review,joke,make,laugh,funny
69,police,cop,officer,shoot,stop,police_officer,kill,man,arrest,video
70,drug,study,research,result,effect,show,test,brain,datum,measure
71,china,market,free,chinese,trade,buy,economy,price,sell,world
72,society,culture,social,individual,part,people,community,cultural,group,form
73,aos,conservative,liberal,aot,ai,side,stewart,point,view,aore
74,young,age,year,man,girl,boy,generation,grow,adult,early
75,black,white,race,racism,racist,color,racial,identify,community,african
76,flag,south,slavery,slave,fight,fly,confederate_flag,symbol,southern,history
77,economic,rate,increase,economy,growth,percent,policy,low,krugman,demand
78,vote,republican,party,democrat,voter,election,candidate,democratic,sander,win
79,safe,risk,harm,damage,prevent,result,due,health,vaccine,disease
80,human,kill,animal,dog,lion,hunt,nature,specie,live,care
81,word,term,call,speak,refer,understand,language,describe,definition,define
82,question,answer,puzzle,clue,guess,watch,https_www,fill,simple,correct
83,give,good,offer,chance,make,expect,deserve,fair,neighbor,possibly
84,religion,religious,christian,god,church,belief,faith,practice,pope,moral
85,gun,kill,control,people,violence,carry,murder,shoot,weapon,death
86,happen,time,remember,end,day,forget,today,fall,begin,bring
87,life,live,people,choose,matter,choice,die,death,save,end
88,law,court,case,decision,constitution,judge,justice,rule,decide,legal
89,work,hard,hour,day,job,week,make,find,career,boss
90,high,level,low,standard,number,good,compare,average,top,quality
91,change,continue,mind,policy,make,long,remain,open,hope,time
92,city,live,area,neighborhood,home,house,move,housing,nyc,new_york
