0,word,puzzle,clue,cuba,nice,fill,comment,time,bit,rubio
1,crime,criminal,prison,case,system,judge,jail,charge,justice,guilty
2,cost,care,pay,health_care,plan,insurance,healthcare,system,aca,obamacare
3,show,watch,movie,tv,play,music,video,film,art,https_www
4,change,stop,time,happen,start,thing,make,put,mind,set
5,government,security,citizen,freedom,national,private,public,protect,secret,information
6,woman,male,female,gender,feel,difference,body,bear,identify,define
7,system,provide,program,good,improve,service,offer,quality,require,resource
8,work,hour,hard,job,time,amazon,day,week,employee,spend
9,play,game,team,sport,player,win,fan,soccer,football,ball
10,child,kid,parent,family,bear,care,raise,mother,home,father
11,war,iraq,isis,fight,military,middle_east,force,enemy,syria,send
12,china,free,trade,world,country,chinese,economy,american,market,nation
13,fact,argument,claim,base,evidence,prove,reason,true,case,assume
14,require,check,list,sign,form,time,order,run,record,horse
15,word,understand,term,speak,language,mind,describe,refer,knowledge,explain
16,car,drive,road,travel,mile,driver,train,fly,park,ride
17,candidate,clinton,hillary,campaign,run,sander,bernie_sander,bernie,win,democratic
18,read,write,comment,book,article,author,piece,writer,mention,ms
19,kill,people,act,hate,murder,victim,violence,crime,evil,commit
20,life,live,die,matter,death,people,save,end,suffer,happy
21,group,interest,part,large,force,serve,small,reason,process,purpose
22,city,live,area,home,neighborhood,house,move,housing,nyc,town
23,tax,pay,money,spend,dollar,fund,income,government,cut,taxpayer
24,make,choice,choose,sense,decision,good,difference,mistake,point,easy
25,conservative,liberal,political,leave,anti,view,progressive,side,politic,ideology
26,support,congress,policy,politician,bill,pass,public,american,member,house
27,behavior,action,blame,responsibility,responsible,fault,personal,situation,consequence,accept
28,lose,fail,leave,continue,end,failure,give,success,lead,chance
29,issue,important,discussion,address,concern,point,discuss,view,focus,mention
30,good,great,hope,future,place,time,goal,achieve,hard,put
31,family,friend,home,son,love,daughter,father,mother,brother,stay
32,vote,republican,party,democrat,voter,election,democratic,voting,gop,win
33,problem,solution,drug,solve,fix,real,people,big,create,part
34,people,respect,treat,call,deserve,speak,stop,complain,listen,reason
35,american,america,country,citizen,illegal,immigrant,million,immigration,mexico,border
36,thing,lot,talk,hear,make,happen,kind,sound,stupid,smart
37,buy,sell,price,pay,money,service,product,free,business,market
38,day,time,office,sit,summer,week,room,back,set,work
39,economic,economy,growth,market,krugman,policy,demand,increase,inflation,feed
40,water,oil,energy,land,plant,grow,california,clean,power,industry
41,risk,harm,safe,fear,damage,case,worry,prevent,dangerous,potential
42,year,time,ago,long,month,spend,decade,past,back,week
43,good,bad,thing,idea,make,give,reason,put,chance,wrong
44,woman,man,abortion,sex,baby,pro,birth_control,body,planned_parenthood,life
45,job,worker,pay,company,wage,employee,work,hire,labor,union
46,lie,truth,fact,claim,trust,call,admit,reality,honest,real
47,black,white,race,racist,racism,community,racial,color,african,american
48,study,research,science,base,datum,result,show,expert,scientist,field
49,give,open,hand,break,put,expect,rest,world,shame,corruption
50,poor,rich,class,wealth,middle_class,wealthy,poverty,income,low,work
51,head,fire,wait,fall,foot,hit,moment,big,jump,throw
52,internet,technology,phone,computer,ad,datum,information,call,company,online
53,person,people,thing,find,kind,make,give,type,imagine,true
54,feel,experience,feeling,understand,find,therapist,fear,reaction,deep,share
55,science,climate_change,climate,earth,rise,scientist,planet,model,warm,datum
56,power,political,nation,world,leader,country,lead,democracy,leadership,strong
57,greece,greek,debt,bank,loan,german,germany,money,euro,austerity
58,medium,public,real,attention,reality,message,focus,time,show,world
59,time,story,news,report,nyt,reader,new_york,column,comment,reporter
60,law,rule,court,case,legal,constitution,justice,decision,decide,lawyer
61,love,gay,marriage,relationship,marry,couple,man,sex,people,find
62,aos,aot,ai,time,make,mr,call,big,leave,aore
63,business,money,big,profit,corporation,corporate,company,financial,make,wall_street
64,wear,man,picture,hair,photo,eye,dress,style,image,suit
65,gun,control,carry,people,shoot,kill,weapon,nra,law,stop
66,high,number,rate,increase,population,low,large,level,average,percent
67,human,animal,kill,dog,world,lion,nature,hunt,specie,natural
68,young,age,year,girl,boy,generation,grow,face,adult,find
69,trump,candidate,gop,republican,debate,donald_trump,run,fox,party,donald
70,patient,doctor,medical,treatment,drug,care,hospital,cancer,medicine,pain
71,flag,south,slavery,slave,fly,fight,confederate_flag,symbol,history,southern
72,president,obama,bush,republican,run,elect,administration,jeb,office,reagan
73,state,texas,union,federal,governor,local,red,gov,walker,wisconsin
74,police,cop,officer,shoot,stop,police_officer,kill,man,situation,video
75,school,student,college,education,teacher,high,teach,university,degree,public
76,article,find,http_www,read,interesting,opinion,interested,mention,post,link
77,question,answer,simple,response,give,test,point,follow,correct,obvious
78,society,social,culture,individual,create,human,progress,cultural,idea,community
79,wrong,point,agree,side,matter,completely,position,make,fact,simply
80,country,world,europe,european,germany,usa,nation,france,japan,refugee
81,religious,religion,christian,church,god,belief,moral,faith,muslim,pope
82,hold,standard,fair,view,include,free,apply,organization,follow,receive
83,guy,call,guess,make,folk,joke,pick,funny,pretty,laugh
84,deal,iran,agreement,nuclear,israel,bomb,sanction,war,iranian,negotiate
85,people,live,care,place,understand,lot,realize,make,ordinary,hurt
86,character,story,show,king,dead,season,end,great,hero,david
87,back,move,time,long,step,plan,bring,line,turn,wait
88,russia,country,russian,putin,west,war,ukraine,western,nato,force
89,attack,israel,threat,jewish,terrorist,jew,world,palestinian,destroy,israeli
90,food,eat,drink,exercise,healthy,weight,fat,sugar,diet,cook
91,history,today,learn,great,remember,post,end,forget,long,past
