0,problem,care,drug,good,doctor,medical,patient,risk,issue,result
1,state,history,great,change,today,part,america,flag,long,south
2,show,watch,play,good,game,great,guy,team,sport,big
3,people,live,place,move,home,city,house,build,area,local
4,question,fact,point,answer,issue,wrong,claim,lie,real,medium
5,child,school,kid,work,family,parent,high,education,good,student
6,people,life,live,human,feel,make,love,world,care,thing
7,pay,job,tax,cost,business,worker,benefit,company,low,high
8,law,state,decision,rule,abortion,citizen,legal,court,make,religious
9,gun,police,kill,crime,stop,case,shoot,criminal,murder,violence
10,american,country,war,world,america,fight,iraq,military,attack,isis
11,money,government,greece,greek,economic,economy,debt,country,bank,germany
12,article,time,read,comment,write,story,find,word,book,mention
13,deal,iran,power,world,china,country,government,good,interest,obama
14,republican,vote,trump,president,party,candidate,run,political,obama,gop
15,work,make,time,day,hour,buy,give,hard,sell,week
16,food,water,science,eat,population,grow,produce,earth,scientist,climate_change
17,year,time,good,make,thing,aos,bad,happen,back,give
18,woman,man,black,white,race,person,people,sex,feel,male
