0,run,big,lose,give,turn,walker,back,put,leave,long
1,greece,greek,debt,bank,germany,german,loan,money,euro,europe
2,poor,rich,people,class,middle_class,wealth,poverty,wealthy,economic,social
3,comment,post,opinion,mr,point,read,write,column,agree,piece
4,president,obama,republican,congress,bill,house,elect,bush,administration,office
5,article,amp,time,story,read,nyt,report,author,find,mention
6,child,family,parent,kid,young,father,mother,adult,age,home
7,people,person,thing,lot,understand,make,kind,group,reason,place
8,thing,talk,guy,stop,hear,lot,folk,kind,guess,sound
9,give,br,call,time,watch,follow,list,include,order,break
10,food,eat,exercise,healthy,drink,weight,body,fat,diet,day
11,feel,person,experience,understand,find,feeling,life,relationship,mind,pressure
12,water,energy,climate_change,oil,earth,california,planet,clean,environment,land
13,society,culture,social,individual,human,group,form,cultural,define,concept
14,fear,hope,speak,strong,respect,face,stand,power,give,hold
15,job,worker,pay,work,employee,company,wage,union,labor,hire
16,add,make,recipe,cook,serve,good,taste,bit,easy,great
17,china,russia,country,world,chinese,russian,war,west,putin,nation
18,br,dear,gt,gt_gt,nutshell,kalidan,usual,colossal,diff,rub
19,action,blame,fail,act,behavior,responsible,responsibility,failure,consequence,accept
20,black,white,race,american,african,racism,racist,community,racial,people
21,br,http_www,target,href_http,title,www,http,org,news,article
22,problem,real,solution,part,solve,fix,simple,issue,address,situation
23,leave,back,hand,line,open,turn,put,bring,end,eye
24,high,number,rate,increase,population,large,low,level,small,average
25,crime,criminal,case,prison,justice,system,charge,victim,abuse,commit
26,show,medium,news,watch,tv,press,daily,funny,interview,fox_new
27,issue,important,matter,concern,focus,discussion,understand,question,address,discuss
28,country,american,immigrant,illegal,immigration,border,citizen,mexico,europe,cuba
29,candidate,republican,gop,vote,win,campaign,election,run,hillary,clinton
30,year,long,time,ago,age,term,decade,past,month,early
31,great,music,art,hear,ms,sound,play,listen,king,song
32,word,read,write,book,language,writer,puzzle,author,letter,speak
33,wear,office,face,feel,put,hair,short,smile,foot,find
34,war,iraq,isis,fight,military,attack,force,terrorist,middle_east,enemy
35,show,movie,story,character,watch,video,film,picture,review,photo
36,woman,man,sex,male,female,young,marriage,gender,girl,gay
37,play,game,team,sport,player,win,fan,football,great,soccer
38,government,free,control,power,freedom,protect,speech,democracy,individual,regulation
39,care,health,cost,insurance,plan,pay,system,provide,healthcare,aca
40,make,sense,good,difference,decision,point,mistake,easy,thing,clear
41,gun,police,kill,shoot,officer,violence,cop,murder,stop,death
42,flag,south,history,slavery,war,state,civil,fight,southern,confederate_flag
43,school,student,college,education,teacher,high,university,teach,degree,test
44,american,country,america,nation,citizen,trade,interest,politician,foreign,united_state
45,choice,life,woman,abortion,choose,support,pro,make,baby,force
46,party,republican,conservative,political,liberal,wing,politic,democrat,policy,democratic
47,time,day,week,hour,spend,year,work,month,night,wait
48,law,rule,court,case,legal,decision,constitution,justice,pass,lawyer
49,patient,drug,doctor,medical,treatment,risk,die,cancer,disease,hospital
50,money,pay,tax,spend,dollar,income,fund,government,cut,benefit
51,human,kill,animal,dog,people,live,death,lion,life,hunt
52,drive,car,road,walk,park,place,horse,jump,land,stop
53,br,sic,lefty_liberal,huh,dd,ergo,aka,mistakenly,continuation,ps
54,work,hard,good,find,amazon,make,success,job,people,career
55,change,time,happen,move,end,start,step,continue,begin,long
56,time,city,travel,new_york,place,train,seat,nyc,fly,visit
57,live,city,home,area,house,move,build,place,neighborhood,community
58,business,buy,sell,company,profit,money,price,product,corporation,big
59,religious,religion,church,christian,god,belief,muslim,faith,evil,pope
60,information,internet,technology,phone,computer,datum,email,send,apple,security
61,deal,iran,israel,agreement,nuclear,bomb,sanction,war,support,iranian
62,fact,point,wrong,argument,reason,agree,side,simply,true,case
63,economy,economic,market,growth,policy,financial,demand,feed,china,investment
64,state,vote,texas,voter,voting,election,governor,citizen,federal,red
65,life,love,live,friend,family,feel,die,happy,find,share
66,lie,truth,fact,claim,call,shame,reality,true,honest,fool
67,world,today,great,future,history,learn,rest,generation,live,create
68,good,bad,thing,idea,make,give,great,reason,lot,pretty
69,public,support,system,interest,provide,standard,serve,policy,member,organization
70,science,study,base,evidence,research,fact,scientist,claim,result,prove
71,trump,question,answer,debate,call,donald_trump,speak,insult,attack,bully
