0,people,feel,thing,understand,make,lot,person,wrong,kind,angry
1,good,bad,thing,idea,guy,make,lot,people,kind,wrong
2,aos,aot,ai,mr,make,time,point,call,leave,include
3,blame,action,act,behavior,responsibility,responsible,people,hold,fault,consequence
4,republican,vote,president,party,obama,democrat,voter,election,democratic,congress
5,flag,history,south,slavery,fight,fly,slave,confederate_flag,symbol,southern
6,life,live,die,matter,death,feel,family,lose,end,suffer
7,deal,iran,agreement,obama,nuclear,israel,bomb,president,sanction,iranian
8,question,answer,point,give,simple,follow,good,understand,explain,response
9,black,white,race,racist,racism,community,people,color,racial,african
10,live,city,home,house,area,move,place,neighborhood,build,housing
11,information,internet,security,email,phone,datum,technology,computer,send,personal
12,gun,kill,people,violence,control,murder,carry,shoot,fear,weapon
13,issue,important,address,discussion,point,concern,focus,real,discuss,matter
14,business,company,buy,price,sell,service,product,make,amazon,good
15,problem,solution,real,part,situation,fix,solve,create,easy,make
16,pay,tax,income,money,cut,benefit,cost,raise,high,low
17,drive,car,travel,road,walk,mile,place,park,driver,train
18,food,eat,exercise,drink,healthy,weight,fat,good,add,sugar
19,time,call,open,wait,talk,give,back,put,eye,turn
20,greece,greek,debt,germany,europe,german,loan,country,bank,euro
21,back,time,start,remember,leave,move,turn,end,step,bring
22,respect,support,give,agree,view,position,deserve,treat,idea,offer
23,drug,risk,treatment,study,disease,cancer,health,research,pain,brain
24,abortion,woman,life,support,baby,anti,bear,child,care,force
25,law,rule,court,case,legal,pass,constitution,require,decision,justice
26,show,watch,movie,character,play,tv,music,art,great,film
27,argument,fact,base,point,evidence,wrong,prove,case,claim,argue
28,free,country,china,trade,world,chinese,market,american,economy,usa
29,crime,case,criminal,prison,system,judge,commit,charge,jail,victim
30,work,day,time,hard,hour,week,find,night,long,lot
31,child,family,kid,parent,young,age,father,mother,home,adult
32,article,read,write,book,comment,author,find,interesting,mention,http_www
33,government,public,system,private,national,federal,create,citizen,provide,policy
34,word,guess,comment,post,nice,bit,sound,hear,fill,puzzle
35,american,country,america,citizen,illegal,immigrant,million,people,immigration,mexico
36,trump,candidate,clinton,republican,run,president,gop,hillary,campaign,bush
37,world,great,nation,country,today,history,rest,learn,lead,bring
38,call,hear,speak,speech,stupid,talk,guy,hate,comment,smart
39,fail,great,result,end,failure,lead,goal,success,future,term
40,happen,stop,thing,put,hand,run,lose,give,expect,break
41,conservative,liberal,show,side,debate,leave,medium,political,fox,fox_new
42,war,iraq,military,russia,fight,russian,force,putin,enemy,ukraine
43,water,oil,energy,land,clean,plant,power,environment,grow,california
44,job,worker,work,pay,company,employee,wage,hire,labor,corporation
45,religion,religious,freedom,christian,church,god,moral,belief,faith,society
46,woman,man,male,female,gender,young,girl,sex,boy,feel
47,rate,increase,high,economic,low,economy,growth,population,number,percent
48,change,continue,policy,long,time,remain,place,future,current,hope
49,experience,individual,person,understand,group,social,culture,difference,define,mind
50,science,study,scientist,datum,climate,research,show,climate_change,http_www,model
51,time,story,medium,news,nyt,report,comment,reader,piece,write
52,isis,country,muslim,israel,group,attack,jewish,europe,world,jew
53,care,cost,plan,doctor,patient,health_care,medical,system,insurance,healthcare
54,police,cop,officer,shoot,stop,video,situation,fire,police_officer,kill
55,money,spend,dollar,financial,buy,big,bank,market,investment,billion
56,people,poor,rich,society,class,social,middle_class,wealth,live,poverty
57,year,time,ago,long,month,number,back,decade,start,past
58,make,good,choice,sense,decision,choose,point,give,mistake,difference
59,play,game,team,sport,player,win,fan,great,soccer,field
60,state,union,texas,run,governor,red,member,include,office,national
61,school,student,college,education,high,teacher,teach,university,degree,learn
62,love,person,people,friend,gay,sex,marriage,find,relationship,wife
63,human,animal,kill,dog,nature,lion,live,world,people,hunt
64,political,power,politician,interest,democracy,leader,politic,american,represent,america
65,fact,lie,claim,truth,reality,call,true,real,trust,matter
66,wear,line,office,put,short,summer,make,foot,find,pick
